City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
557,Prado,BR,70.5,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
563,Kumluca,TR,70.43,clear sky,36.3703,30.2869,TurkuazKöy
566,Tabou,CI,78.19,moderate rain,4.423,-7.3528,hotêl doufoulougou
567,Port Hedland,AU,87.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
570,Sigli,ID,88.38,broken clouds,5.3848,95.9609,Losmen Dua Mali
577,Itoman,JP,82.42,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
578,Haimen,CN,74.3,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
579,Panaba,MX,71.6,clear sky,21.2833,-88.2667,Hotel California
584,Alibag,IN,89.67,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
587,Hami,CN,76.6,few clouds,42.8,93.45,Laoyutang Resort
591,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
593,El Doncello,CO,71.62,broken clouds,1.6782,-75.2847,Colombia
595,Payakumbuh,ID,81.37,overcast clouds,-0.2202,100.6308,Dalimo Homestay
603,Kerema,PG,86.23,moderate rain,-7.9631,145.7785,Frena Lodge
604,Limbang,MY,89.71,overcast clouds,4.75,115.0,Purnama Hotel
606,Nicoya,CR,79.09,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
607,Katobu,ID,84.72,broken clouds,-4.9408,122.5276,La Ode Husein
611,Najran,SA,86.09,clear sky,17.4924,44.1277,محمد هادي ال فطيح
612,Dafeng,CN,72.9,overcast clouds,23.4517,108.5881,Shenglong Hotel
614,Unidad,PH,86.22,overcast clouds,8.535,126.2306,Baybay ni Duardo
615,Tucupita,VE,71.35,clear sky,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
616,Socorro,US,85.21,few clouds,31.6546,-106.3033,guarderia imss papalote
620,Kilindoni,TZ,80.31,few clouds,-7.9139,39.6668,Bustani B&B
626,Iberia,US,73.47,clear sky,29.9502,-91.7507,back to back rv park
627,Labuhan,ID,86.88,overcast clouds,-6.8844,112.2051,DoubleFAG
629,Vinukonda,IN,82.11,overcast clouds,16.05,79.75,VLS Residency
630,Bridgetown,BB,79.29,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
631,Poso,ID,86.95,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
632,Roebourne,AU,82.4,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
635,Ures,MX,73.35,scattered clouds,29.4333,-110.4,Hacienda Quinta Napoles
638,Vila Do Maio,CV,71.04,few clouds,15.1333,-23.2167,Hotel Marilu
639,Korla,CN,76.59,broken clouds,41.7597,86.1469,Gulisitan Hotel
642,Quelimane,MZ,72.36,clear sky,-17.8786,36.8883,Hotel Flamingo
646,Miri,MY,86.18,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
648,Ugoofaaru,MV,83.34,broken clouds,5.6667,73.0,Ungoofaaru Inn
650,Cururupu,BR,72.73,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
657,Sao Joao Dos Patos,BR,72.79,overcast clouds,-6.495,-43.7022,Montesino Hotel & Restaurante
658,Kibala,TD,83.73,overcast clouds,9.1104,18.3463,hotel safari
659,Coolum Beach,AU,74.1,light rain,-26.5333,153.1,Coolum Beach Resort
